iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
HUN,Europe,Hungary,2021-07-02,808197,37,41,29992,0,1.714,83661.255,3.83,4.244,3104.649,0,0.177,,,,,,,,,,7391,5695084,589.532,0.765,7358,0.762,,,tests performed,,,,,,,,,,,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,
ISL,Europe,Iceland,2021-07-02,6555,0,0,29,0,0,19208.791,0,0,84.982,0,0,,,,,,,,,,,,,,,,,,,435373,262051,223719,12525,6951,127.58,76.79,65.56,20369,,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,
IND,Asia,India,2021-07-02,30502362,44111,45602.714,401050,738,936.714,22103.091,31.964,33.045,290.615,0.535,0.679,,,,,,,,,,2230026,414251520,300.181,1.616,2097582,1.52,,,samples tested,335671794,276339011,59332783,930145,4144324,24.32,20.02,4.3,3003,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,
IDN,Asia,Indonesia,2021-07-02,2228938,25830,22295.857,59534,539,451.857,8148.978,94.434,81.513,217.656,1.971,1.652,,,,,,,,,,102765,13527509,49.456,0.376,94719,0.346,,,people tested,44661928,30891821,13770107,500968,895324,16.33,11.29,5.03,3273,,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,
IRN,Asia,Iran,2021-07-02,3232696,13836,11678.143,84516,127,132.571,38487.705,164.728,139.037,1006.227,1.512,1.578,,,,,,,,,,,23806452,283.434,,105607,1.257,,,tests performed,,,,,,,,,,,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,
IRQ,Asia,Iraq,2021-07-02,1359836,6378,6202.571,17256,40,31.857,33807.841,158.568,154.207,429.014,0.994,0.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,
IRL,Europe,Ireland,2021-07-02,273296,512,402.714,5000,0,1.571,55347.771,103.69,81.557,1012.598,0,0.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955,
IMN,Europe,Isle of Man,2021-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108637,63247,45390,1306,1095,127.76,74.38,53.38,12878,,85032,147.872,,,,,,,,,,,,81.4,,
ISR,Asia,Israel,2021-07-02,842371,304,247.571,6429,0,0,97321.589,35.122,28.603,742.761,0,0,,17,1.964,50,5.777,,,,,,,,,,,,,,10799605,5625207,5174398,10959,15283,124.77,64.99,59.78,1766,,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,
ITA,Europe,Italy,2021-07-02,4261582,794,733,127615,28,28.143,70483.843,13.132,12.123,2110.671,0.463,0.465,,,,,,,,,,,,,,,,,,,52682992,34461262,19462810,525892,525729,87.13,57,32.19,8695,,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,
JAM,North America,Jamaica,2021-07-02,50242,76,47.571,1082,2,4.429,16966.994,25.666,16.065,365.397,0.675,1.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2961161,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,
JPN,Asia,Japan,2021-07-02,803812,1774,1519,14779,25,28.143,6355.428,14.026,12.01,116.852,0.198,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,
JEY,Europe,Jersey,2021-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122930,70335,52595,,422,121.62,69.59,52.04,4175,,101073,,,,,,,,,,,,,,,
JOR,Asia,Jordan,2021-07-02,752395,458,478.429,9760,4,7.143,73741.515,44.888,46.89,956.568,0.392,0.7,,,,,,,,,,,,,,,,,,,3916223,2495153,1421070,,76754,38.38,24.45,13.93,7523,,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,
KAZ,Asia,Kazakhstan,2021-07-02,488204,2852,2139.429,3539,6,3,26000.512,151.89,113.941,188.478,0.32,0.16,,,,,,,,,,,,,,,,,,,5588733,3502814,2085919,135427,108860,29.76,18.66,11.11,5798,,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,
KEN,Africa,Kenya,2021-07-02,185060,523,453.571,3651,11,13.571,3441.613,9.726,8.435,67.899,0.205,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,
KIR,Oceania,Kiribati,2021-07-02,2,0,0,,,0,16.744,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119446,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,
OWID_KOS,Europe,Kosovo,2021-07-02,107785,17,69.429,2262,0,0.286,55766.996,8.796,35.922,1170.339,0,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932774,168.155,,,,9795.834,0.6,,,,,,,,,
KWT,Asia,Kuwait,2021-07-02,360406,1895,1734.857,1995,16,11.714,84393.088,443.735,406.236,467.152,3.747,2.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4270563,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,75.49,0.806,
KGZ,Asia,Kyrgyzstan,2021-07-02,127880,1485,1271.286,2019,10,7.857,19600.898,227.614,194.857,309.464,1.533,1.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,
LAO,Asia,Laos,2021-07-02,2176,32,11.714,3,0,0,299.084,4.398,1.61,0.412,0,0,,,,,,,,,,,299502,41.166,,1446,0.199,,,people tested,,,,,,,,,,,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,
LVA,Europe,Latvia,2021-07-02,137540,40,58.571,2526,6,3.571,72919.019,21.207,31.053,1339.199,3.181,1.893,,,,,,,,,,7598,2871186,1522.205,4.028,7649,4.055,,,tests performed,1167610,665339,562412,8797,9606,61.9,35.27,29.82,5093,,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,
LBN,Asia,Lebanon,2021-07-02,545226,210,151.571,7856,2,2.429,79881.42,30.767,22.207,1150.988,0.293,0.356,,,,,,,,,,,,,,,,,,,1376600,925393,451207,17385,18982,20.17,13.56,6.61,2781,,6825442,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,
LSO,Africa,Lesotho,2021-07-02,11544,128,53.714,329,0,0,5388.722,59.75,25.074,153.577,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,
LBR,Africa,Liberia,2021-07-02,4520,216,163.714,133,4,3,893.691,42.707,32.369,26.297,0.791,0.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,
LBY,Africa,Libya,2021-07-02,194323,418,313.429,3205,7,2.857,28280.437,60.833,45.614,466.434,1.019,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6871287,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,
LIE,Europe,Liechtenstein,2021-07-02,3040,1,1.143,59,0,0,79712.615,26.221,29.967,1547.054,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38137,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,
LTU,Europe,Lithuania,2021-07-02,278826,17,31.143,4387,3,1.286,102423.29,6.245,11.44,1611.51,1.102,0.472,,,,,,,,,,,,,,,,,,,2327090,1251425,1075665,20582,17842,85.48,45.97,39.51,6554,,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,,6.56,75.93,0.882,
LUX,Europe,Luxembourg,2021-07-02,71031,136,61.571,818,0,0,113472.401,217.261,98.361,1306.759,0,0,,,,,,,,,,,,,,,,,,,560608,343732,216876,,6861,89.56,54.91,34.65,10960,,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,
MAC,Asia,Macao,2021-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354557,242025,113957,7161,5443,54.6,37.27,17.55,8382,,649342,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,
MDG,Africa,Madagascar,2021-07-02,42264,17,10,918,3,1.714,1526.271,0.614,0.361,33.152,0.108,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MWI,Africa,Malawi,2021-07-02,36573,214,169.286,1202,3,3.286,1911.818,11.187,8.849,62.833,0.157,0.172,,,,,,,,,,1430,269547,14.09,0.075,1364,0.071,,,samples tested,,,,,,,,,,,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,
MYS,Asia,Malaysia,2021-07-02,765949,6982,6184.286,5327,73,74.857,23665.237,215.72,191.074,164.586,2.255,2.313,,,,,,,,,,,,,,,,,,,8582893,6119874,2463019,236196,220546,26.52,18.91,7.61,6814,,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,
MDV,Asia,Maldives,2021-07-02,74074,143,161.429,213,0,0.571,137036.53,264.549,298.642,394.049,0,1.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540542,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92,0.74,
MLI,Africa,Mali,2021-07-02,14435,7,4.429,525,0,0,712.81,0.346,0.219,25.925,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20250834,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31,0.434,
MLT,Europe,Malta,2021-07-02,30633,6,4.286,420,0,0,69377.79,13.589,9.706,951.218,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,
MHL,Oceania,Marshall Islands,2021-07-02,4,0,0,,,0,67.574,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59194,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,
MRT,Africa,Mauritania,2021-07-02,20977,83,58.429,489,0,0.429,4511.513,17.851,12.566,105.169,0,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,64.92,0.546,
MUS,Africa,Mauritius,2021-07-02,1858,0,11.286,18,0,0,1460.959,0,8.874,14.154,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,
MEX,North America,Mexico,2021-07-02,2531192,5842,4690.714,233428,180,154.571,19631.877,45.31,36.381,1810.463,1.396,1.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,
FSM,Oceania,Micronesia (country),2021-07-02,1,0,0,,,0,8.694,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115021,150.777,23,4.81,2.392,3299.464,16,454.343,12.02,,,,,67.88,0.62,
MDA,Europe,Moldova,2021-07-02,256870,54,56.429,6194,0,1.714,63676.836,13.386,13.988,1535.463,0,0.425,,,,,,,,,,,,,,,,,,,735965,458077,277888,,7952,18.24,11.36,6.89,1971,,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MCO,Europe,Monaco,2021-07-02,2586,6,2.286,33,0,0,65895.424,152.89,58.244,840.893,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39244,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MNG,Asia,Mongolia,2021-07-02,120339,0,1868.143,592,0,12.429,36707.834,0,569.852,180.582,0,3.791,,,,,,,,,,,,,,,,,,,3810163,2053714,1756449,21769,19697,116.22,62.65,53.58,6008,,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.737,
MNE,Europe,Montenegro,2021-07-02,100292,20,21,1613,0,0.571,159684.872,31.844,33.436,2568.218,0,0.91,,,,,,,,,,,,,,,,,,,291621,151655,139966,1375,1175,46.43,24.15,22.29,1871,,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88,0.829,
MSR,North America,Montserrat,2021-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640,1411,1229,,6,52.81,28.23,24.58,1200,,4999,,,,,,,,,,,,,74.16,,
MAR,Africa,Morocco,2021-07-02,532994,844,609,9307,9,5.571,14440.15,22.866,16.499,252.15,0.244,0.151,,,,,,,,,,,,,,,,,,,19219432,10059937,9159495,49856,87725,52.07,27.25,24.82,2377,,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,
MOZ,Africa,Mozambique,2021-07-02,78074,869,555.429,885,1,2.857,2497.934,27.803,17.771,28.315,0.032,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MMR,Asia,Myanmar,2021-07-02,161210,1863,1376.714,3364,17,11.714,2962.886,34.24,25.303,61.827,0.312,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,
NAM,Africa,Namibia,2021-07-02,92869,1661,1657,1586,30,40.143,36549.418,653.701,652.127,624.184,11.807,15.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,
NRU,Oceania,Nauru,2021-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9313,7499,1814,,228,85.96,69.22,16.74,21045,,10834,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,
NPL,Asia,Nepal,2021-07-02,642053,1391,1557.286,9179,34,33.429,22035.804,47.74,53.447,315.031,1.167,1.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,
NLD,Europe,Netherlands,2021-07-02,1714524,948,659,18038,7,2.143,100060.502,55.326,38.46,1052.707,0.409,0.125,,,,,,,,,,,,,,,,,,,15934847,10316529,6199305,,151315,93,60.21,36.18,8831,,17134873,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,
NCL,Oceania,New Caledonia,2021-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111259,59316,51943,,822,38.97,20.78,18.19,2879,,285491,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,
NZL,Oceania,New Zealand,2021-07-02,2743,0,1.857,26,0,0,568.824,0,0.385,5.392,0,0,,,,,,,,,,7132,2303782,477.742,1.479,7215,1.496,,,tests performed,,,,,,,,,,,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,
NIC,North America,Nicaragua,2021-07-02,8178,0,36.857,191,0,0.286,1234.498,0,5.564,28.832,0,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,
NER,Africa,Niger,2021-07-02,5492,0,2,193,0,0,226.88,0,0.083,7.973,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,
NGA,Africa,Nigeria,2021-07-02,167732,40,43.143,2121,0,0.286,813.682,0.194,0.209,10.289,0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206139587,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,
MKD,Europe,North Macedonia,2021-07-02,155700,11,5.286,5486,1,0.286,74734.326,5.28,2.537,2633.221,0.48,0.137,,,,,,,,,,,,,,,,,,,572176,346836,225340,14776,10096,27.46,16.65,10.82,4846,,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,,,,4.28,75.8,0.774,
OWID_CYN,Asia,Northern Cyprus,2021-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129743,75463,54280,,575,33.94,19.74,14.2,1504,,,,,,,,,,,,,,,,,
NOR,Europe,Norway,2021-07-02,131749,240,201,794,0,0.286,24302.365,44.27,37.076,146.461,0,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,
OMN,Asia,Oman,2021-07-02,270504,0,1994.571,3140,0,41.714,52971.221,0,390.585,614.888,0,8.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5106622,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,
PAK,Asia,Pakistan,2021-07-02,961085,1400,1034.714,22379,34,27.286,4350.921,6.338,4.684,101.312,0.154,0.124,,,,,,,,,,46941,14637171,66.264,0.213,44595,0.202,,,tests performed,,,,,,,,,,,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,
PSE,Asia,Palestine,2021-07-02,314409,121,127,3570,5,2,61631.712,23.719,24.895,699.806,0.98,0.392,,,,,,,,,,,,,,,,,,,887719,516013,371706,9475,9606,17.4,10.12,7.29,1883,,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,
PAN,North America,Panama,2021-07-02,406013,1030,1027.571,6560,8,7.857,94098.454,238.715,238.152,1520.36,1.854,1.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,
PNG,Oceania,Papua New Guinea,2021-07-02,17098,0,2.714,173,0,0,1911.026,0,0.303,19.336,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8947027,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,
PRY,South America,Paraguay,2021-07-02,426318,1320,1571.143,13127,110,130.857,59770.937,185.068,220.278,1840.441,15.422,18.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.728,
PER,South America,Peru,2021-07-02,2057554,0,2041.714,192687,0,177.143,62403.361,0,61.923,5843.986,0,5.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,
PHL,Asia,Philippines,2021-07-02,1424518,6181,5637.857,24973,176,117.286,12999.671,56.406,51.449,227.895,1.606,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109581085,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1,71.23,0.718,
PCN,Oceania,Pitcairn,2021-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,47,,,0,100,100,,0,,47,,,,,,,,,,,,,,,
POL,Europe,Poland,2021-07-02,2880107,97,91,75065,21,16,76099.481,2.563,2.404,1983.401,0.555,0.423,,,,,,,,,,,,,,,,,,,29791445,17041184,13716258,247412,257591,78.72,45.03,36.24,6806,,37846605,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,
PRT,Europe,Portugal,2021-07-02,884442,2436,1851.286,17108,7,3.857,86738.003,238.901,181.557,1677.797,0.686,0.378,,,,,,,,,,,,,,,,,,,9164875,5915342,3674252,184381,164297,89.88,58.01,36.03,16113,,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,
QAT,Asia,Qatar,2021-07-02,222350,133,126.429,591,0,0.429,77176.456,46.164,43.883,205.133,0,0.149,,,,,,,,,,,,,,,,,,,3211237,1739012,1472225,33493,31713,111.46,60.36,51.1,11007,,2881060,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
ROU,Europe,Romania,2021-07-02,1080860,37,48.286,33898,37,141,56184.524,1.923,2.51,1762.063,1.923,7.329,,,,,,,,,,14119,8375802,435.385,0.734,12687,0.659,,,tests performed,,,,,,,,,,,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,
RUS,Europe,Russia,2021-07-02,5495513,22791,21358.286,134302,669,633.286,37657.405,156.173,146.355,920.29,4.584,4.34,,,,,,,,,,,,,,,,,,,41821794,24221641,17600153,946439,602673,28.66,16.6,12.06,4130,,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,
RWA,Africa,Rwanda,2021-07-02,40798,884,825.714,453,5,7,3149.887,68.251,63.751,34.975,0.386,0.54,,,,,,,,,,9047,1650629,127.44,0.698,9574,0.739,,,samples tested,,,,,,,,,,,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,,69.02,0.543,
SHN,Africa,Saint Helena,2021-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7892,4361,3531,,97,130,71.83,58.16,15978,,6071,,,,,,,,,,,,,80.56,,
KNA,North America,Saint Kitts and Nevis,2021-07-02,476,19,7.286,3,0,0,8948.714,357.197,136.97,56.399,0,0,,,,,,,,,,,21427,402.824,,,,,,people tested,,,,,,,,,,,53192,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,
LCA,North America,Saint Lucia,2021-07-02,5302,0,5.714,84,0,0,28873.435,0,31.119,457.444,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183629,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,
VCT,North America,Saint Vincent and the Grenadines,2021-07-02,2229,2,1.857,12,0,0,20090.674,18.027,16.739,108.16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110947,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,
WSM,Oceania,Samoa,2021-07-02,3,0,0,,,0,15.12,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198410,69.413,22,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,
SMR,Europe,San Marino,2021-07-02,5091,0,0.143,90,0,0,150008.84,0,4.209,2651.895,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33938,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,
STP,Africa,Sao Tome and Principe,2021-07-02,2369,0,0.571,37,0,0,10809.405,0,2.607,168.826,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219161,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,
SAU,Asia,Saudi Arabia,2021-07-02,490464,4358,1394.571,7848,44,15,14088.179,125.18,40.058,225.427,1.264,0.431,,,,,,,,,,,,,,,,,,,18198743,,,179674,155729,52.27,,,4473,,34813867,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,
SEN,Africa,Senegal,2021-07-02,43427,159,97.143,1170,2,1.286,2593.597,9.496,5.802,69.876,0.119,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,
SRB,Europe,Serbia,2021-07-02,716717,74,77.857,7051,4,3.857,105328.369,10.875,11.442,1036.211,0.588,0.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,
SYC,Africa,Seychelles,2021-07-02,15857,278,105.857,71,3,1.143,161246.695,2826.927,1076.44,721.985,30.506,11.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,
SLE,Africa,Sierra Leone,2021-07-02,5702,50,64.143,104,2,2.429,714.806,6.268,8.041,13.038,0.251,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,
SGP,Asia,Singapore,2021-07-02,62599,10,12.286,36,0,0.143,10700.056,1.709,2.1,6.153,0,0.024,,,,,,,,,,,,,,,,,,,5551613,3426468,2125145,,47165,94.89,58.57,36.33,8062,,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SXM,North America,Sint Maarten (Dutch part),2021-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38290,21130,17160,,297,89.29,49.27,40.02,6926,,42882,1209.088,,,,36327.232,,,,,,,,78.95,,
